SOLUTION
2 n030w8

ASSIGNMENTS = 120
HN_0 Mon Night HeadNurse
HN_0 Tue Night Caretaker
HN_0 Wed Night HeadNurse
HN_0 Thu Night Caretaker
HN_0 Fri Night Nurse
HN_1 Tue Day Nurse
HN_1 Wed Day Nurse
HN_1 Thu Day Nurse
HN_1 Fri Day Nurse
HN_2 Mon Late Nurse
HN_2 Tue Late Nurse
HN_2 Wed Late HeadNurse
HN_3 Mon Day Nurse
HN_3 Tue Day Nurse
HN_3 Fri Day Nurse
HN_3 Sat Day HeadNurse
HN_3 Sun Night HeadNurse
NU_4 Thu Early Nurse
NU_4 Fri Early Nurse
NU_5 Tue Early Nurse
NU_5 Wed Early Nurse
NU_6 Mon Night Nurse
NU_6 Thu Night Nurse
NU_6 Fri Night Caretaker
NU_6 Sat Night Nurse
NU_6 Sun Night Nurse
NU_7 Mon Late Caretaker
NU_7 Tue Late Caretaker
NU_7 Wed Late Nurse
NU_7 Sat Late Nurse
NU_7 Sun Late Nurse
NU_8 Wed Early Caretaker
NU_8 Thu Early Caretaker
NU_8 Fri Early Caretaker
NU_9 Mon Night Caretaker
NU_9 Tue Night Nurse
NU_9 Wed Night Nurse
NU_9 Thu Night Nurse
NU_10 Mon Late Caretaker
NU_10 Tue Late Caretaker
NU_10 Wed Late Nurse
NU_10 Sat Day Nurse
NU_10 Sun Day Nurse
NU_11 Mon Early Nurse
NU_11 Tue Early Nurse
NU_11 Wed Late Caretaker
NU_11 Thu Late Nurse
NU_11 Fri Late Nurse
NU_12 Fri Late Caretaker
NU_12 Sat Late Caretaker
NU_12 Sun Late Caretaker
NU_13 Tue Day Caretaker
NU_13 Wed Day Caretaker
NU_14 Mon Early Caretaker
NU_14 Tue Early Caretaker
NU_14 Fri Early Caretaker
NU_14 Sat Early Nurse
NU_14 Sun Early Nurse
NU_15 Mon Early Caretaker
NU_15 Tue Early Caretaker
NU_15 Wed Early Caretaker
NU_15 Thu Day Nurse
NU_15 Fri Day Caretaker
NU_16 Tue Early Caretaker
NU_16 Wed Early Caretaker
NU_16 Thu Early Caretaker
CT_17 Mon Day Caretaker
CT_17 Tue Day Caretaker
CT_17 Wed Late Caretaker
CT_17 Thu Late Caretaker
CT_17 Fri Late Caretaker
CT_18 Tue Early Caretaker
CT_18 Wed Early Caretaker
CT_18 Thu Day Caretaker
CT_18 Fri Day Caretaker
CT_19 Mon Night Caretaker
CT_19 Tue Night Caretaker
CT_19 Fri Day Caretaker
CT_19 Sat Day Caretaker
CT_19 Sun Night Caretaker
CT_20 Tue Day Caretaker
CT_20 Wed Day Caretaker
CT_20 Thu Day Caretaker
CT_21 Mon Late Caretaker
CT_21 Sat Early Caretaker
CT_21 Sun Early Caretaker
CT_22 Wed Night Caretaker
CT_22 Thu Night Caretaker
CT_22 Fri Night Caretaker
CT_22 Sat Night Caretaker
CT_22 Sun Night Caretaker
CT_23 Mon Night Caretaker
CT_23 Tue Night Caretaker
CT_23 Wed Night Caretaker
CT_23 Thu Night Caretaker
CT_23 Fri Night Caretaker
CT_24 Mon Day Caretaker
CT_24 Tue Day Caretaker
CT_24 Wed Late Caretaker
CT_24 Thu Late Caretaker
CT_24 Fri Late Caretaker
TR_25 Mon Late Trainee
TR_25 Tue Late Trainee
TR_25 Wed Late Trainee
TR_25 Sat Night Trainee
TR_25 Sun Night Trainee
TR_26 Fri Late Trainee
TR_26 Sat Late Trainee
TR_26 Sun Late Trainee
TR_27 Mon Night Trainee
TR_27 Tue Night Trainee
TR_27 Sat Day Trainee
TR_27 Sun Day Trainee
TR_28 Mon Early Trainee
TR_28 Tue Early Trainee
TR_28 Wed Early Trainee
TR_28 Thu Early Trainee
TR_28 Fri Early Trainee
TR_29 Thu Day Trainee
TR_29 Fri Day Trainee
