ASSIGNMENTS = 818
HN_0 0/Mon Early Nurse
HN_1 0/Mon Night HeadNurse
HN_4 0/Mon Day Nurse
HN_5 0/Mon Day Nurse
NU_6 0/Mon Night Nurse
NU_8 0/Mon Late Nurse
NU_9 0/Mon Day Nurse
NU_10 0/Mon Day Caretaker
NU_11 0/Mon Early Nurse
NU_12 0/Mon Night Nurse
NU_13 0/Mon Late Nurse
NU_14 0/Mon Late Nurse
NU_15 0/Mon Early Nurse
NU_16 0/Mon Night Nurse
NU_18 0/Mon Late Caretaker
NU_19 0/Mon Late Caretaker
NU_20 0/Mon Night Caretaker
NU_21 0/Mon Night Caretaker
NU_22 0/Mon Late Caretaker
NU_23 0/Mon Day Caretaker
NU_24 0/Mon Day Caretaker
CT_28 0/Mon Early Caretaker
CT_29 0/Mon Night Caretaker
CT_31 0/Mon Early Caretaker
CT_32 0/Mon Early Caretaker
CT_33 0/Mon Day Caretaker
CT_34 0/Mon Late Caretaker
CT_35 0/Mon Day Caretaker
CT_37 0/Mon Early Caretaker
CT_38 0/Mon Night Caretaker
TR_40 0/Mon Day Trainee
TR_41 0/Mon Late Trainee
TR_43 0/Mon Night Trainee
TR_44 0/Mon Early Trainee
TR_45 0/Mon Night Trainee
TR_46 0/Mon Late Trainee
TR_47 0/Mon Early Trainee
HN_1 1/Tue Night Nurse
HN_4 1/Tue Day Nurse
HN_5 1/Tue Day Nurse
NU_6 1/Tue Night Nurse
NU_8 1/Tue Late Nurse
NU_9 1/Tue Day Nurse
NU_10 1/Tue Day Caretaker
NU_11 1/Tue Early Nurse
NU_12 1/Tue Night Caretaker
NU_14 1/Tue Late Nurse
NU_15 1/Tue Early Nurse
NU_18 1/Tue Late Caretaker
NU_21 1/Tue Night Caretaker
NU_24 1/Tue Day Caretaker
CT_28 1/Tue Early Caretaker
CT_31 1/Tue Early Caretaker
CT_32 1/Tue Early Caretaker
CT_33 1/Tue Day Caretaker
CT_34 1/Tue Late Caretaker
CT_35 1/Tue Day Caretaker
CT_36 1/Tue Day Caretaker
CT_37 1/Tue Early Caretaker
CT_38 1/Tue Night Caretaker
TR_43 1/Tue Night Trainee
TR_45 1/Tue Night Trainee
TR_46 1/Tue Late Trainee
TR_47 1/Tue Early Trainee
TR_48 1/Tue Early Trainee
TR_49 1/Tue Day Trainee
HN_2 2/Wed Early Nurse
HN_3 2/Wed Late HeadNurse
HN_4 2/Wed Late Nurse
HN_5 2/Wed Day Nurse
NU_6 2/Wed Night Nurse
NU_7 2/Wed Late Nurse
NU_8 2/Wed Late Nurse
NU_9 2/Wed Early Nurse
NU_10 2/Wed Day Nurse
NU_12 2/Wed Night Nurse
NU_14 2/Wed Late Caretaker
NU_17 2/Wed Day Nurse
NU_18 2/Wed Late Caretaker
NU_21 2/Wed Night Caretaker
NU_23 2/Wed Early Caretaker
NU_24 2/Wed Day Caretaker
NU_25 2/Wed Night Caretaker
NU_26 2/Wed Day Caretaker
NU_27 2/Wed Late Caretaker
CT_30 2/Wed Early Caretaker
CT_31 2/Wed Early Caretaker
CT_32 2/Wed Early Caretaker
CT_33 2/Wed Late Caretaker
CT_34 2/Wed Late Caretaker
CT_35 2/Wed Day Caretaker
CT_36 2/Wed Day Caretaker
CT_38 2/Wed Night Caretaker
TR_42 2/Wed Day Trainee
TR_43 2/Wed Night Trainee
TR_45 2/Wed Night Trainee
TR_46 2/Wed Late Trainee
TR_47 2/Wed Late Trainee
TR_48 2/Wed Early Trainee
TR_49 2/Wed Day Trainee
HN_0 3/Thu Day Nurse
HN_2 3/Thu Early HeadNurse
HN_3 3/Thu Late Nurse
HN_4 3/Thu Late Nurse
NU_6 3/Thu Night Nurse
NU_7 3/Thu Late Caretaker
NU_9 3/Thu Early Nurse
NU_10 3/Thu Day Nurse
NU_12 3/Thu Night Caretaker
NU_17 3/Thu Day Nurse
NU_19 3/Thu Day Caretaker
NU_21 3/Thu Night Caretaker
NU_22 3/Thu Day Caretaker
NU_23 3/Thu Early Caretaker
NU_24 3/Thu Early Caretaker
NU_25 3/Thu Night Caretaker
NU_26 3/Thu Day Caretaker
NU_27 3/Thu Late Caretaker
CT_30 3/Thu Early Caretaker
CT_31 3/Thu Early Caretaker
CT_33 3/Thu Late Caretaker
CT_36 3/Thu Day Caretaker
CT_38 3/Thu Night Caretaker
TR_42 3/Thu Day Trainee
TR_45 3/Thu Night Trainee
TR_47 3/Thu Late Trainee
TR_48 3/Thu Early Trainee
TR_49 3/Thu Day Trainee
HN_0 4/Fri Day Nurse
HN_1 4/Fri Night Nurse
HN_2 4/Fri Early HeadNurse
HN_3 4/Fri Late HeadNurse
HN_4 4/Fri Late Nurse
NU_6 4/Fri Night Nurse
NU_7 4/Fri Late Nurse
NU_9 4/Fri Early Nurse
NU_10 4/Fri Day Nurse
NU_11 4/Fri Late Caretaker
NU_12 4/Fri Night Nurse
NU_17 4/Fri Day Nurse
NU_19 4/Fri Day Caretaker
NU_20 4/Fri Day Caretaker
NU_21 4/Fri Night Caretaker
NU_22 4/Fri Day Caretaker
NU_23 4/Fri Early Nurse
NU_24 4/Fri Early Caretaker
NU_25 4/Fri Night Caretaker
NU_26 4/Fri Day Caretaker
NU_27 4/Fri Late Caretaker
CT_28 4/Fri Early Caretaker
CT_30 4/Fri Early Caretaker
CT_31 4/Fri Early Caretaker
CT_33 4/Fri Late Caretaker
CT_37 4/Fri Night Caretaker
CT_38 4/Fri Night Caretaker
CT_39 4/Fri Late Caretaker
TR_42 4/Fri Day Trainee
TR_44 4/Fri Late Trainee
TR_45 4/Fri Night Trainee
TR_47 4/Fri Late Trainee
TR_48 4/Fri Early Trainee
HN_0 5/Sat Day HeadNurse
HN_1 5/Sat Night HeadNurse
NU_8 5/Sat Day Nurse
NU_11 5/Sat Late Nurse
NU_13 5/Sat Day Caretaker
NU_15 5/Sat Night Nurse
NU_16 5/Sat Early Nurse
NU_19 5/Sat Early Nurse
NU_20 5/Sat Day Caretaker
NU_22 5/Sat Late Caretaker
NU_25 5/Sat Night Nurse
CT_28 5/Sat Early Caretaker
CT_29 5/Sat Early Caretaker
CT_37 5/Sat Night Caretaker
CT_39 5/Sat Late Caretaker
TR_40 5/Sat Day Trainee
TR_41 5/Sat Early Trainee
TR_43 5/Sat Night Trainee
TR_44 5/Sat Late Trainee
HN_0 6/Sun Early HeadNurse
HN_1 6/Sun Night Nurse
NU_8 6/Sun Day Nurse
NU_11 6/Sun Late Nurse
NU_13 6/Sun Day Caretaker
NU_15 6/Sun Night Nurse
NU_16 6/Sun Early Nurse
NU_19 6/Sun Early Caretaker
NU_20 6/Sun Day Caretaker
NU_22 6/Sun Late Caretaker
NU_25 6/Sun Night Caretaker
CT_28 6/Sun Early Caretaker
CT_29 6/Sun Early Caretaker
CT_37 6/Sun Night Caretaker
CT_39 6/Sun Late Caretaker
TR_40 6/Sun Day Trainee
TR_41 6/Sun Early Trainee
TR_43 6/Sun Night Trainee
TR_44 6/Sun Late Trainee
HN_0 7/Mon Early Nurse
HN_1 7/Mon Night Nurse
HN_3 7/Mon Late Nurse
HN_5 7/Mon Day Nurse
NU_6 7/Mon Late Nurse
NU_8 7/Mon Day Nurse
NU_10 7/Mon Day Nurse
NU_12 7/Mon Early Nurse
NU_13 7/Mon Late Caretaker
NU_15 7/Mon Night Nurse
NU_16 7/Mon Early Nurse
NU_18 7/Mon Early Caretaker
NU_19 7/Mon Early Caretaker
NU_20 7/Mon Late Caretaker
NU_21 7/Mon Late Caretaker
NU_23 7/Mon Night Nurse
NU_24 7/Mon Early Caretaker
NU_26 7/Mon Day Caretaker
NU_27 7/Mon Early Caretaker
CT_28 7/Mon Day Caretaker
CT_29 7/Mon Day Caretaker
CT_31 7/Mon Night Caretaker
CT_32 7/Mon Late Caretaker
CT_33 7/Mon Day Caretaker
CT_35 7/Mon Day Caretaker
