SOLUTION
2 n035w4

ASSIGNMENTS = 134
HN_0 Tue Night Caretaker
HN_0 Wed Night Caretaker
HN_0 Thu Night Caretaker
HN_0 Fri Night HeadNurse
HN_1 Mon Late Nurse
HN_1 Sat Early HeadNurse
HN_1 Sun Night HeadNurse
HN_2 Mon Late Caretaker
HN_2 Tue Late Nurse
HN_3 Mon Late Caretaker
HN_3 Tue Late Nurse
HN_3 Wed Late HeadNurse
HN_3 Thu Late Caretaker
HN_3 Fri Late Caretaker
HN_4 Tue Day HeadNurse
HN_4 Wed Day Caretaker
HN_4 Thu Day Nurse
HN_4 Fri Day Nurse
HN_5 Tue Early Caretaker
HN_5 Wed Early Nurse
HN_5 Thu Early Caretaker
NU_6 Thu Late Nurse
NU_6 Fri Late Nurse
NU_6 Sat Late Nurse
NU_6 Sun Late Nurse
NU_7 Thu Early Nurse
NU_7 Fri Early Nurse
NU_7 Sat Day Nurse
NU_7 Sun Day Nurse
NU_8 Mon Day Nurse
NU_8 Tue Day Nurse
NU_8 Fri Night Nurse
NU_8 Sat Night Nurse
NU_8 Sun Night Nurse
NU_9 Mon Late Caretaker
NU_9 Tue Late Caretaker
NU_9 Wed Late Nurse
NU_9 Sat Late Caretaker
NU_9 Sun Late Nurse
NU_10 Mon Night Nurse
NU_10 Fri Late Nurse
NU_10 Sat Late Caretaker
NU_10 Sun Late Caretaker
NU_11 Tue Night Nurse
NU_11 Wed Night Nurse
NU_11 Thu Night Nurse
NU_11 Fri Night Nurse
NU_12 Tue Day Caretaker
NU_12 Wed Day Nurse
NU_12 Thu Day Caretaker
NU_13 Mon Early Nurse
NU_13 Tue Early Nurse
NU_13 Wed Early Caretaker
NU_14 Mon Night Caretaker
NU_14 Tue Night Caretaker
NU_15 Mon Early Nurse
NU_15 Tue Early Caretaker
NU_15 Fri Day Nurse
NU_15 Sat Day Caretaker
NU_15 Sun Day Caretaker
NU_16 Mon Early Caretaker
NU_16 Thu Day Caretaker
NU_16 Fri Day Caretaker
NU_16 Sat Early Nurse
NU_16 Sun Early Nurse
CT_17 Mon Day Caretaker
CT_17 Tue Day Caretaker
CT_17 Fri Night Caretaker
CT_17 Sat Night Caretaker
CT_17 Sun Night Caretaker
CT_18 Mon Night Caretaker
CT_18 Tue Night Caretaker
CT_18 Wed Night Caretaker
CT_18 Thu Night Caretaker
CT_18 Fri Night Caretaker
CT_19 Mon Early Caretaker
CT_19 Tue Early Caretaker
CT_19 Wed Day Caretaker
CT_19 Thu Day Caretaker
CT_20 Wed Late Caretaker
CT_20 Thu Late Caretaker
CT_20 Fri Late Caretaker
CT_21 Mon Day Caretaker
CT_21 Tue Day Caretaker
CT_22 Wed Day Caretaker
CT_22 Thu Day Caretaker
CT_22 Fri Day Caretaker
CT_23 Mon Night Caretaker
CT_23 Tue Night Caretaker
CT_23 Wed Night Caretaker
CT_23 Thu Night Caretaker
CT_23 Fri Night Caretaker
CT_24 Thu Early Caretaker
CT_24 Fri Early Caretaker
CT_24 Sat Early Caretaker
CT_24 Sun Early Caretaker
CT_25 Wed Early Caretaker
CT_25 Thu Early Caretaker
CT_25 Fri Early Caretaker
CT_26 Mon Day Caretaker
CT_26 Tue Day Caretaker
CT_26 Wed Early Caretaker
CT_26 Thu Early Caretaker
CT_27 Tue Late Caretaker
CT_27 Wed Late Caretaker
CT_27 Thu Late Caretaker
CT_28 Tue Late Caretaker
CT_28 Wed Late Caretaker
CT_28 Thu Late Caretaker
CT_28 Fri Late Caretaker
TR_29 Mon Day Trainee
TR_29 Tue Day Trainee
TR_30 Mon Early Trainee
TR_30 Tue Early Trainee
TR_30 Wed Early Trainee
TR_30 Thu Late Trainee
TR_30 Fri Late Trainee
TR_31 Wed Day Trainee
TR_31 Thu Day Trainee
TR_31 Fri Day Trainee
TR_32 Mon Late Trainee
TR_32 Tue Late Trainee
TR_32 Wed Late Trainee
TR_32 Sat Day Trainee
TR_32 Sun Day Trainee
TR_33 Mon Night Trainee
TR_33 Tue Night Trainee
TR_33 Wed Night Trainee
TR_33 Sat Early Trainee
TR_33 Sun Early Trainee
TR_34 Thu Night Trainee
TR_34 Fri Night Trainee
TR_34 Sat Night Trainee
TR_34 Sun Night Trainee
