SOLUTION
6 n040w8

ASSIGNMENTS = 156
HN_0 Mon Day Nurse
HN_0 Tue Day HeadNurse
HN_0 Wed Day HeadNurse
HN_0 Thu Day Nurse
HN_0 Fri Day Caretaker
HN_1 Tue Late Nurse
HN_1 Wed Late Nurse
HN_1 Thu Late Nurse
HN_1 Fri Late Nurse
HN_2 Mon Early Nurse
HN_2 Tue Early Caretaker
HN_2 Wed Early HeadNurse
HN_3 Mon Late Nurse
HN_3 Tue Late Caretaker
HN_3 Sat Day Nurse
HN_3 Sun Day Nurse
HN_4 Wed Night HeadNurse
HN_4 Thu Night Caretaker
HN_4 Fri Night HeadNurse
HN_4 Sat Night HeadNurse
HN_4 Sun Night Nurse
HN_5 Tue Night HeadNurse
HN_5 Wed Night Caretaker
HN_5 Thu Night Caretaker
HN_5 Fri Night Caretaker
NU_6 Mon Day Caretaker
NU_6 Tue Day Nurse
NU_7 Sat Day Caretaker
NU_7 Sun Day Nurse
NU_8 Mon Late Nurse
NU_8 Tue Late Caretaker
NU_8 Wed Late Caretaker
NU_8 Sat Late Nurse
NU_8 Sun Late Nurse
NU_9 Tue Day Nurse
NU_9 Wed Day Nurse
NU_9 Thu Early Nurse
NU_9 Fri Early Nurse
NU_10 Wed Early Nurse
NU_10 Thu Early Caretaker
NU_10 Fri Early Caretaker
NU_11 Tue Day Caretaker
NU_11 Wed Day Caretaker
NU_11 Thu Day Nurse
NU_12 Mon Late Nurse
NU_12 Tue Late Caretaker
NU_12 Sat Early Nurse
NU_12 Sun Early Nurse
NU_13 Mon Night Nurse
NU_13 Tue Night Nurse
NU_13 Fri Night Nurse
NU_13 Sat Night Nurse
NU_13 Sun Night Caretaker
NU_14 Wed Early Nurse
NU_14 Thu Early Caretaker
NU_14 Fri Early Caretaker
NU_14 Sat Late Nurse
NU_14 Sun Late Caretaker
NU_15 Mon Night Caretaker
NU_15 Tue Night Caretaker
NU_15 Wed Night Nurse
NU_15 Thu Night Nurse
NU_16 Mon Early Nurse
NU_16 Tue Early Nurse
NU_16 Wed Early Caretaker
NU_16 Thu Day Caretaker
NU_16 Fri Day Nurse
NU_17 Mon Night Caretaker
NU_17 Tue Night Caretaker
NU_17 Wed Night Caretaker
CT_18 Tue Day Caretaker
CT_18 Wed Day Caretaker
CT_18 Thu Day Caretaker
CT_19 Thu Late Caretaker
CT_19 Fri Late Caretaker
CT_19 Sat Late Caretaker
CT_19 Sun Late Caretaker
CT_20 Tue Night Caretaker
CT_20 Wed Night Caretaker
CT_20 Thu Night Caretaker
CT_20 Fri Night Caretaker
CT_21 Mon Early Caretaker
CT_21 Tue Early Caretaker
CT_22 Mon Early Caretaker
CT_22 Tue Early Caretaker
CT_22 Wed Late Caretaker
CT_22 Thu Late Caretaker
CT_22 Fri Late Caretaker
CT_23 Tue Early Caretaker
CT_23 Wed Early Caretaker
CT_23 Thu Early Caretaker
CT_24 Mon Late Caretaker
CT_24 Thu Early Caretaker
CT_24 Fri Early Caretaker
CT_24 Sat Day Caretaker
CT_24 Sun Day Caretaker
CT_25 Mon Day Caretaker
CT_25 Tue Day Caretaker
CT_25 Wed Day Caretaker
CT_25 Thu Day Caretaker
CT_25 Fri Day Caretaker
CT_26 Mon Early Caretaker
CT_26 Tue Early Caretaker
CT_26 Wed Late Caretaker
CT_26 Thu Late Caretaker
CT_26 Fri Late Caretaker
CT_27 Sat Night Caretaker
CT_27 Sun Night Caretaker
CT_28 Mon Late Caretaker
CT_28 Thu Night Caretaker
CT_28 Fri Night Caretaker
CT_28 Sat Night Caretaker
CT_28 Sun Night Caretaker
CT_29 Mon Day Caretaker
CT_29 Tue Day Caretaker
CT_29 Wed Early Caretaker
CT_29 Thu Early Caretaker
CT_29 Fri Early Caretaker
CT_30 Mon Late Caretaker
CT_30 Tue Late Caretaker
CT_30 Wed Late Caretaker
CT_30 Sat Early Caretaker
CT_30 Sun Early Caretaker
CT_31 Mon Night Caretaker
CT_31 Thu Late Caretaker
CT_31 Fri Late Caretaker
CT_31 Sat Late Caretaker
CT_31 Sun Late Caretaker
TR_32 Mon Day Trainee
TR_32 Sat Day Trainee
TR_32 Sun Day Trainee
TR_33 Wed Day Trainee
TR_33 Thu Day Trainee
TR_33 Fri Night Trainee
TR_33 Sat Night Trainee
TR_33 Sun Night Trainee
TR_34 Thu Day Trainee
TR_34 Fri Day Trainee
TR_34 Sat Late Trainee
TR_34 Sun Late Trainee
TR_35 Wed Night Trainee
TR_35 Thu Night Trainee
TR_35 Fri Night Trainee
TR_36 Sat Early Trainee
TR_36 Sun Early Trainee
TR_37 Tue Early Trainee
TR_37 Wed Early Trainee
TR_37 Thu Early Trainee
TR_38 Mon Late Trainee
TR_38 Tue Late Trainee
TR_38 Wed Late Trainee
TR_38 Thu Late Trainee
TR_39 Tue Day Trainee
TR_39 Wed Day Trainee
TR_39 Thu Late Trainee
TR_39 Fri Late Trainee
