ASSIGNMENTS = 1111
HN_0 0/Mon Late Nurse
HN_1 0/Mon Day HeadNurse
HN_2 0/Mon Early HeadNurse
HN_4 0/Mon Day Nurse
HN_6 0/Mon Night HeadNurse
HN_7 0/Mon Early Nurse
NU_8 0/Mon Night Nurse
NU_9 0/Mon Early Nurse
NU_10 0/Mon Day Nurse
NU_11 0/Mon Night Nurse
NU_13 0/Mon Night Nurse
NU_14 0/Mon Day Nurse
NU_15 0/Mon Night Nurse
NU_16 0/Mon Day Caretaker
NU_18 0/Mon Early Nurse
NU_19 0/Mon Early Nurse
NU_20 0/Mon Night Caretaker
NU_22 0/Mon Late Nurse
NU_25 0/Mon Night Caretaker
NU_26 0/Mon Early Caretaker
NU_27 0/Mon Late Nurse
NU_29 0/Mon Early Caretaker
NU_30 0/Mon Day Caretaker
NU_33 0/Mon Late Caretaker
NU_34 0/Mon Early Caretaker
NU_37 0/Mon Night Caretaker
NU_39 0/Mon Late Caretaker
CT_40 0/Mon Late Caretaker
CT_44 0/Mon Night Caretaker
CT_45 0/Mon Day Caretaker
CT_46 0/Mon Early Caretaker
CT_47 0/Mon Late Caretaker
CT_48 0/Mon Night Caretaker
CT_50 0/Mon Day Caretaker
CT_52 0/Mon Early Caretaker
CT_53 0/Mon Late Caretaker
CT_54 0/Mon Early Caretaker
CT_55 0/Mon Day Caretaker
CT_56 0/Mon Late Caretaker
CT_58 0/Mon Night Caretaker
CT_59 0/Mon Day Caretaker
TR_60 0/Mon Day Trainee
TR_61 0/Mon Day Trainee
TR_62 0/Mon Night Trainee
TR_63 0/Mon Late Trainee
TR_65 0/Mon Day Trainee
TR_68 0/Mon Late Trainee
TR_69 0/Mon Early Trainee
HN_0 1/Tue Late Nurse
HN_1 1/Tue Day Nurse
HN_2 1/Tue Early Nurse
HN_4 1/Tue Day Nurse
HN_5 1/Tue Late Nurse
HN_6 1/Tue Night HeadNurse
HN_7 1/Tue Early Nurse
NU_8 1/Tue Night Nurse
NU_9 1/Tue Early Nurse
NU_10 1/Tue Day Nurse
NU_12 1/Tue Night Nurse
NU_13 1/Tue Night Nurse
NU_14 1/Tue Day Caretaker
NU_15 1/Tue Night Caretaker
NU_16 1/Tue Day Caretaker
NU_18 1/Tue Early Caretaker
NU_20 1/Tue Night Caretaker
NU_23 1/Tue Day Caretaker
NU_25 1/Tue Night Caretaker
NU_27 1/Tue Late Nurse
NU_29 1/Tue Early Caretaker
NU_30 1/Tue Day Caretaker
NU_31 1/Tue Late Nurse
NU_34 1/Tue Early Caretaker
NU_39 1/Tue Late Caretaker
CT_40 1/Tue Late Caretaker
CT_44 1/Tue Night Caretaker
CT_45 1/Tue Day Caretaker
CT_46 1/Tue Early Caretaker
CT_47 1/Tue Late Caretaker
CT_48 1/Tue Night Caretaker
CT_50 1/Tue Day Caretaker
CT_52 1/Tue Early Caretaker
CT_53 1/Tue Late Caretaker
CT_54 1/Tue Early Caretaker
CT_55 1/Tue Day Caretaker
CT_56 1/Tue Late Caretaker
CT_57 1/Tue Late Caretaker
CT_58 1/Tue Night Caretaker
TR_60 1/Tue Day Trainee
TR_61 1/Tue Day Trainee
TR_62 1/Tue Night Trainee
TR_63 1/Tue Late Trainee
TR_65 1/Tue Early Trainee
TR_69 1/Tue Early Trainee
HN_2 2/Wed Early HeadNurse
HN_5 2/Wed Late Nurse
HN_6 2/Wed Night HeadNurse
HN_7 2/Wed Early Nurse
NU_8 2/Wed Night Nurse
NU_9 2/Wed Early Nurse
NU_10 2/Wed Day Nurse
NU_11 2/Wed Late Nurse
NU_12 2/Wed Night Nurse
NU_14 2/Wed Early Nurse
NU_15 2/Wed Night Nurse
NU_16 2/Wed Day Nurse
NU_18 2/Wed Late Nurse
NU_20 2/Wed Night Nurse
NU_23 2/Wed Day Nurse
NU_24 2/Wed Night Caretaker
NU_25 2/Wed Night Caretaker
NU_26 2/Wed Late Caretaker
NU_28 2/Wed Early Caretaker
NU_29 2/Wed Day Nurse
NU_30 2/Wed Early Caretaker
NU_31 2/Wed Late Caretaker
NU_34 2/Wed Early Caretaker
NU_35 2/Wed Early Caretaker
CT_40 2/Wed Late Caretaker
CT_41 2/Wed Night Caretaker
CT_42 2/Wed Day Caretaker
CT_44 2/Wed Night Caretaker
CT_45 2/Wed Day Caretaker
CT_46 2/Wed Day Caretaker
CT_47 2/Wed Late Caretaker
CT_48 2/Wed Night Caretaker
CT_49 2/Wed Day Caretaker
CT_50 2/Wed Day Caretaker
CT_52 2/Wed Early Caretaker
CT_55 2/Wed Day Caretaker
CT_56 2/Wed Late Caretaker
CT_57 2/Wed Late Caretaker
CT_58 2/Wed Night Caretaker
TR_60 2/Wed Day Trainee
TR_62 2/Wed Night Trainee
TR_63 2/Wed Late Trainee
TR_64 2/Wed Late Trainee
TR_65 2/Wed Early Trainee
TR_66 2/Wed Early Trainee
TR_69 2/Wed Day Trainee
HN_2 3/Thu Early HeadNurse
HN_3 3/Thu Day HeadNurse
HN_5 3/Thu Late HeadNurse
NU_8 3/Thu Night Nurse
NU_9 3/Thu Late Nurse
NU_10 3/Thu Day Nurse
NU_11 3/Thu Late Nurse
NU_12 3/Thu Night Nurse
NU_14 3/Thu Early Nurse
NU_15 3/Thu Night Nurse
NU_16 3/Thu Early Nurse
NU_18 3/Thu Late Nurse
NU_20 3/Thu Night Caretaker
NU_21 3/Thu Early Nurse
NU_22 3/Thu Day Nurse
NU_23 3/Thu Early Caretaker
NU_24 3/Thu Night Caretaker
NU_25 3/Thu Night Caretaker
NU_26 3/Thu Late Nurse
NU_28 3/Thu Early Caretaker
NU_29 3/Thu Day Nurse
NU_30 3/Thu Early Caretaker
NU_31 3/Thu Late Caretaker
NU_33 3/Thu Early Caretaker
NU_34 3/Thu Late Caretaker
NU_35 3/Thu Early Caretaker
NU_37 3/Thu Day Caretaker
CT_40 3/Thu Late Caretaker
CT_41 3/Thu Night Caretaker
CT_42 3/Thu Day Caretaker
CT_44 3/Thu Night Caretaker
CT_45 3/Thu Day Caretaker
CT_46 3/Thu Day Caretaker
CT_49 3/Thu Day Caretaker
CT_50 3/Thu Day Caretaker
CT_51 3/Thu Day Caretaker
CT_52 3/Thu Early Caretaker
CT_55 3/Thu Late Caretaker
CT_56 3/Thu Late Caretaker
CT_57 3/Thu Late Caretaker
CT_58 3/Thu Night Caretaker
CT_59 3/Thu Early Caretaker
TR_60 3/Thu Early Trainee
TR_62 3/Thu Night Trainee
TR_63 3/Thu Late Trainee
TR_64 3/Thu Late Trainee
TR_65 3/Thu Late Trainee
TR_66 3/Thu Early Trainee
TR_69 3/Thu Day Trainee
HN_3 4/Fri Day HeadNurse
HN_5 4/Fri Late Nurse
NU_8 4/Fri Night Nurse
NU_9 4/Fri Late Nurse
NU_11 4/Fri Late Nurse
NU_12 4/Fri Night Nurse
NU_15 4/Fri Night Nurse
NU_16 4/Fri Early Nurse
NU_17 4/Fri Night Caretaker
NU_18 4/Fri Late Caretaker
NU_20 4/Fri Night Caretaker
NU_21 4/Fri Early Nurse
NU_22 4/Fri Day Nurse
NU_23 4/Fri Early Nurse
NU_24 4/Fri Night Caretaker
NU_25 4/Fri Night Caretaker
NU_26 4/Fri Late Caretaker
NU_27 4/Fri Day Nurse
NU_28 4/Fri Early Nurse
NU_29 4/Fri Day Nurse
NU_31 4/Fri Late Caretaker
NU_32 4/Fri Early Caretaker
NU_33 4/Fri Early Caretaker
NU_34 4/Fri Late Caretaker
NU_35 4/Fri Early Caretaker
NU_36 4/Fri Early Caretaker
NU_37 4/Fri Day Nurse
NU_38 4/Fri Night Caretaker
CT_41 4/Fri Night Caretaker
CT_42 4/Fri Day Caretaker
CT_43 4/Fri Night Caretaker
CT_44 4/Fri Night Caretaker
CT_45 4/Fri Day Caretaker
CT_46 4/Fri Day Caretaker
CT_49 4/Fri Day Caretaker
CT_51 4/Fri Day Caretaker
CT_53 4/Fri Day Caretaker
CT_54 4/Fri Late Caretaker
CT_55 4/Fri Late Caretaker
CT_56 4/Fri Late Caretaker
CT_57 4/Fri Late Caretaker
CT_59 4/Fri Early Caretaker
TR_60 4/Fri Early Trainee
TR_62 4/Fri Night Trainee
TR_64 4/Fri Late Trainee
TR_65 4/Fri Late Trainee
TR_66 4/Fri Early Trainee
TR_67 4/Fri Day Trainee
TR_68 4/Fri Night Trainee
TR_69 4/Fri Day Trainee
HN_3 5/Sat Early HeadNurse
HN_6 5/Sat Night HeadNurse
HN_7 5/Sat Late HeadNurse
NU_17 5/Sat Night Nurse
NU_19 5/Sat Night Nurse
NU_21 5/Sat Early Nurse
NU_22 5/Sat Early Nurse
NU_24 5/Sat Night Caretaker
NU_27 5/Sat Day Nurse
NU_32 5/Sat Early Caretaker
NU_33 5/Sat Day Caretaker
NU_36 5/Sat Early Caretaker
NU_37 5/Sat Late Nurse
NU_38 5/Sat Night Caretaker
CT_41 5/Sat Night Caretaker
CT_43 5/Sat Night Caretaker
CT_51 5/Sat Late Caretaker
CT_53 5/Sat Day Caretaker
CT_54 5/Sat Late Caretaker
CT_59 5/Sat Day Caretaker
TR_66 5/Sat Late Trainee
TR_67 5/Sat Day Trainee
TR_68 5/Sat Night Trainee
HN_3 6/Sun Early Nurse
HN_6 6/Sun Night HeadNurse
HN_7 6/Sun Late HeadNurse
NU_17 6/Sun Night Nurse
NU_19 6/Sun Night Caretaker
NU_21 6/Sun Early Nurse
NU_22 6/Sun Early Caretaker
NU_27 6/Sun Day Nurse
NU_32 6/Sun Early Caretaker
NU_33 6/Sun Day Caretaker
NU_36 6/Sun Late Nurse
NU_37 6/Sun Late Nurse
NU_38 6/Sun Night Caretaker
CT_43 6/Sun Night Caretaker
CT_51 6/Sun Late Caretaker
CT_53 6/Sun Day Caretaker
CT_54 6/Sun Late Caretaker
CT_59 6/Sun Day Caretaker
TR_66 6/Sun Late Trainee
TR_67 6/Sun Day Trainee
TR_68 6/Sun Night Trainee
HN_1 7/Mon Early Nurse
HN_2 7/Mon Day HeadNurse
HN_4 7/Mon Day Nurse
HN_6 7/Mon Night Nurse
HN_7 7/Mon Late HeadNurse
NU_9 7/Mon Late Nurse
NU_10 7/Mon Day Nurse
NU_11 7/Mon Early Nurse
NU_12 7/Mon Late Nurse
NU_13 7/Mon Night Nurse
NU_15 7/Mon Day Nurse
NU_17 7/Mon Night Nurse
NU_18 7/Mon Late Nurse
NU_19 7/Mon Night Caretaker
NU_20 7/Mon Night Caretaker
NU_21 7/Mon Day Caretaker
NU_23 7/Mon Early Nurse
NU_25 7/Mon Early Caretaker
NU_26 7/Mon Day Caretaker
NU_27 7/Mon Day Caretaker
NU_30 7/Mon Day Caretaker
NU_31 7/Mon Late Caretaker
NU_32 7/Mon Late Caretaker
NU_35 7/Mon Early Caretaker
NU_36 7/Mon Late Caretaker
NU_38 7/Mon Night Caretaker
NU_39 7/Mon Late Caretaker
CT_42 7/Mon Late Caretaker
CT_43 7/Mon Night Caretaker
CT_44 7/Mon Day Caretaker
CT_45 7/Mon Early Caretaker
CT_46 7/Mon Night Caretaker
CT_47 7/Mon Early Caretaker
CT_48 7/Mon Early Caretaker
CT_49 7/Mon Day Caretaker
CT_51 7/Mon Late Caretaker
CT_53 7/Mon Early Caretaker
CT_55 7/Mon Night Caretaker
CT_56 7/Mon Day Caretaker
CT_58 7/Mon Early Caretaker
CT_59 7/Mon Day Caretaker
TR_62 7/Mon Day Trainee
TR_65 7/Mon Early Trainee
TR_67 7/Mon Late Trainee
TR_68 7/Mon Night Trainee
TR_69 7/Mon Day Trainee
HN_0 8/Tue Night Nurse
HN_1 8/Tue Early HeadNurse
HN_2 8/Tue Day Nurse
HN_4 8/Tue Day Nurse
HN_6 8/Tue Night Nurse
HN_7 8/Tue Late Nurse
NU_9 8/Tue Late Nurse
NU_10 8/Tue Day Nurse
NU_11 8/Tue Early Nurse
NU_12 8/Tue Late Nurse
NU_13 8/Tue Night Nurse
NU_14 8/Tue Night Caretaker
NU_15 8/Tue Day Nurse
NU_16 8/Tue Night Caretaker
NU_18 8/Tue Late Nurse
NU_19 8/Tue Night Caretaker
NU_20 8/Tue Night Caretaker
NU_21 8/Tue Day Caretaker
NU_23 8/Tue Early Nurse
NU_25 8/Tue Early Nurse
NU_26 8/Tue Day Caretaker
NU_30 8/Tue Day Caretaker
NU_31 8/Tue Late Caretaker
NU_32 8/Tue Late Caretaker
NU_35 8/Tue Early Caretaker
NU_36 8/Tue Late Caretaker
NU_39 8/Tue Late Caretaker
CT_40 8/Tue Night Caretaker
CT_42 8/Tue Late Caretaker
CT_44 8/Tue Day Caretaker
CT_45 8/Tue Early Caretaker
CT_46 8/Tue Night Caretaker
CT_47 8/Tue Early Caretaker
CT_48 8/Tue Early Caretaker
CT_49 8/Tue Day Caretaker
CT_51 8/Tue Late Caretaker
CT_53 8/Tue Early Caretaker
CT_55 8/Tue Night Caretaker
CT_56 8/Tue Day Caretaker
CT_57 8/Tue Night Caretaker
CT_58 8/Tue Early Caretaker
TR_60 8/Tue Early Trainee
TR_61 8/Tue Late Trainee
TR_62 8/Tue Day Trainee
TR_64 8/Tue Night Trainee
TR_65 8/Tue Early Trainee
TR_67 8/Tue Late Trainee
TR_68 8/Tue Night Trainee
TR_69 8/Tue Day Trainee
HN_0 9/Wed Night HeadNurse
HN_1 9/Wed Early HeadNurse
HN_2 9/Wed Day HeadNurse
HN_4 9/Wed Late HeadNurse
HN_6 9/Wed Night Nurse
